"job_title","company_name","state","description","skill","type"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Proprietary Software","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Data Science","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Communications","Soft Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Python (Programming Language)","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Data-Driven Decision-Making","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Dental Health","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Machine Learning","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Geriatric Nursing","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","Geriatrics","Hard Skill"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members","SQL (Programming Language)","Hard Skill"
