"job_title","company_name <- unlist(final_results[2])","state <- unlist(final_results[3])","description <- unlist(final_results[4])"
"Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members"
"Data Scientist","IBM","New-York","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Responsible for successful delivery of data science solutions and services in a client consulting environment; experience in predictive modeling, optimization, and/or machine learning analytics techniques using tools/programming languages including SPSS, SAS, R, Python, Spark, etc. within a Hadoop-enabled environment. Define key business problems to be solved; formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions, test solutions and present to client. Enhance performance by applying advanced mathematical modeling, data analytics, optimization, and machine learning techniques.

Required Technical and Professional Expertise
Candidates must have 5+ years experience:
Proficiency reading and writing Python code and using Open Source Python packages / models
AWS Cloud Platform experience
Natural Language Processing (NLP) experience
experience with data modeling tools such as ERwin
Data analytics, predictive analytics, mathematics, statistics, or similar field
Developing predictive or statistical models such as regressions, decision trees, neural networks, simulations, and/or optimizations
Consulting and or client facing experience

Preferred Technical and Professional Expertise

Working with IBM Annotators for Clinical Data
Healthcare Industry experience

About Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBMAre you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBMIBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business. At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location StatementIBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work. In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to:


12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.

We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Staff Data Scientist, Freemium","Spotify","New-York","Data, Research & Insights
Data Science
The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify.

Location

New York or Remote Americas

Job type

Permanent
We are looking for a Staff Data Scientist to join the Freemium Product Insights team. The team consists of 85 highly motivated, friendly individuals, specialising in both Data Science and User Research, using their skills to build a holistic understanding of our Free and Premium users.

As part of our team, you will study user behaviour, strategic initiatives, product feature experimentation, and more, bringing data and insights into every decision we make. Your work will impact how we think about our users and our ability to identify and satisfy their needs. This is a highly impactful role where you and the rest of the team will be able to directly impact how millions of Spotify users are supported around the world.

What You'll Do

Perform analyses on data sets to extract meaningful insights that will help drive strategic and product decisions
Work on larger ‘user-understanding projects’ to inform the direction of the user experience
Work end-to-end on projects to ensure your findings are executed, tested and communicated in the desired way
Work closely with cross-functional teams of product owners, engineers, designers, user researchers, business partners and others across the company who are passionate about building great experiences for our users.

Who You Are

You have extensive experience in a hands on Data Science role
You have the technical competence to perform advanced analytics
Coding skills (such as Python, R or similar)
Analytics tools experience (such as SQL, Pandas, R, Spark or similar)
Data visualisation tools (such as Tableau, Qlik Sense, matplotlib, ggplot2 or similar)
You have extensive experience performing analysis with large datasets
You have experience designing, monitoring and analyzing A/B tests or other methods of causal inference
You are a self-driven person who’s capable of tackling loosely defined problems and driving strategic impact
You are a communicative person that values building strong relationships with colleagues and partners and have the ability to explain complex topics in simple terms
You’re capable of and have experience mentoring more junior data scientists to set them up for success
You thrive in a fast-paced, dynamic and high energy environment and are comfortable with ambiguity

Where You'll Be

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the EMEA region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.
Working hours? We operate within the Central European time zone for collaboration
We ask that our team members be located within Greenwich Mean time zone, Central European time zone, or Eastern European standard time zone for the purposes of our collaboration hours

Our global benefits

Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.

Learn about life at Spotify

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users."
"Data Scientist","ViacomCBS","New-York","ViacomCBS (NASDAQ: VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.

Division Overview:
ViacomCBS is looking for a talented and highly motivated Data Scientist to join our Data technology Solutions (DTS) Group. Our Data technology Solutions team is an agile group and develops reliable data platforms to facilitate internal groups for processing data more efficiently.

Role Details:
The Data Scientist will work with different groups across ViacomCBS for automating the processes, develop models relevant to each business for optimizing and improving the revenue streams.

Your Day-to-Day:
Work with stakeholders across the organization to identify opportunities for data-driven solutions.
Collaborate with data engineers to design and integrate new data sources
Conceptualize, implement and scale statistics and machine learning models that help to enhance user engagement and optimize site monetization.
Supporting the business group by building and proactively suggesting reports and dashboards that would be useful for that group

Qualifications:
What you bring to the team:
You have –
Master’s Degree in Computer Science, Mathematics, Statistics or equivalent.
Strong problem solving skills and ability to understand business problems and translating
them into data science / data engineering design specs.
Strong proficiency in using Python for data manipulation and exploratory analysis.
Ability to write complex SQL to perform common types of analysis and aggregations
Experience with statistical analysis and time series modeling.
Knowledge of a variety of machine learning techniques (clustering, regression, decision tree learning, neural networks, etc.) and understand their real-world advantages and trade-offs.
Experience implementing and deploying statistics and machine learning models. You should be familiar with libraries like Pandas, Numpy/Scipy, Statsmodels, Scikit-learn and
Keras / Tensorflow
Experience with Airflow
You might also have –
Experience with web analytics e.g. Adobe Analytics and Google Analytics
Experience with full-stack engineering, Python web frameworks such as Django or Flask
Experience with solutions that process data at scale, e.g. Hadoop, Spark, Google BigQuery or Snowflake
Familiar with a NoSQL database such as MongoDB
Familiar with version control systems (Git and Github/Bitbucket)
Familiar with cloud infrastructure especially GCP (Google Cloud Platform)
Experience with Docker
Experience with BI software like Tableau

#LI-ER2
#LI-REMOTE

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
"Data Scientist - Full-Time Campus Hire","Two Sigma Investments, LLC.","New-York","Two Sigma is a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment management, insurance technology, securities, private equity, and venture capital.

Our team of scientists, technologists, and academics looks beyond traditional methods to develop creative solutions to some of the world’s most complex economic problems.

We are seeking a data scientist to join our growing team and contribute to developing real-time views of consumer and sector-level microeconomic behavior and insights into how that collective behavior manifests in the global economy. We use large-scale real-world observational data to observe and contextualize macroeconomic conditions, regional economic health, consumer decision making, and sector- and firm-level performance in order to drive investment strategies. We often work with semi- or unstructured data sets, and need to be comfortable getting deep into messy data to design, test, and implement economically-intuitive features that measure real world economic activity. To accomplish this, we work closely with our partners to identify, develop, and monetize differentiated hypothesis-driven features that provide a real-time lens on emerging economic and commercial trends.
You are excited to take on the following opportunities:
Get into the weeds of large-scale real-world observational data to infer and control for potential biases resulting from complex data generating processes
Continually develop subject-matter expertise by engaging with internal and external partners to learn how various industries interact with suppliers, serve their customers, and assess their internal financial performance
Independently generate, articulate, and implement hypotheses on what may affect US and international industry- or firm-level performance trends
Develop a deep understanding of the application of empirical methods and data science to challenging applied prediction problems
You should possess the following qualifications:
Degree in a technical or quantitative discipline, like chemistry, computer science, economics, statistics, or quantitative social science with an applied empirical focus (all levels welcome, from bachelor’s to doctorate)
Proficient in Python and SQL
Performed an in-depth research project, examining real-world data
Are an independent thinker who can creatively approach data analysis and communicate complex ideas clearly
You don’t need a background in finance. It’s nice to have, but more than half of Two Sigma’s employees come from outside the finance industry. If you’ve got the research skills, we can teach you the financial aspects of the job.
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics."
"Data Scientist I",NA,"New-York","No one makes cross-channel TV advertising as simple, transparent, or effective as Simulmedia. We're revolutionizing advertising by bringing best-in-class data, science, software and services to TV, streaming, and video games. We’re the only demand-side platform that delivers unparalleled reach, results, and measurement wherever audiences watch, stream, or play. For over a decade, we have helped marketers, agencies, publishers and studios build awareness, inspire action, and find untapped viewers across channels. And we’re just getting started.

The Opportunity

Asa* Data Scientist I,* you will work closely with other Scientists, Product Managers and Engineers to deliver best in class scientific models and algorithms deployed at scale. You will be part of a team building Simulmedia’s cross-channel TV product, and enabling the company to continue its growth in an exciting and dynamic market. You will spend lots of time doing exploratory data analysis, as well as collaborating with teammates to deliver top-notch forecasting models and optimization algorithms.

Qualifications:

BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical fields
Good understanding of statistical learning techniques - model selection, feature engineering, parameter tuning, cross validation, etc.
Good understanding of probability and linear algebra principles
Working knowledge of the Python data science universe
Basic working knowledge of SQL and eagerness to reach proficiency
1+ years of experience doing quantitative data analysis to solve real-world problems
Agility and eagerness to learn - excited about learning new domains/approaches
Ability to communicate findings and blockers clearly

Responsibilities:

Design, build and fine-tune machine learning models for prediction (e.g., of impression capacity) as well as optimization algorithms (e.g., for pacing delivery, decisioning)
Perform exploratory data analysis leveraging all data sources related to our cross-channel offering (demand side and supply side)
Assist the Engineering team in the expansion and continual enhancement of our cross-channel TV data platform, where all DSP and campaign execution data needed for Science comes together
Keep apace with the latest on digital advertising research and practices

Bonus points for...

Advanced Degrees
Experience with programmatic advertising
Proficiency with SQL

The Simulmedia Experience
We take tremendous pride in maintaining a high bar for employees and fostering a strong team environment. While we work hard every day, we also believe in relaxing together with lots of team activities. We have an unlimited vacation policy, tuition reimbursement, and no employee financial contribution for medical, dental, and vision benefits. We offer competitive salaries, stock options, and an annual bonus based on performance. And last but not least, we provide a free Citibike membership to all employees!

*
Company Vision*
To be the first place advertisers go to find and scale their high-value audiences and elevate the accountability and performance of their TV and video advertising.

*
Our Core Values*
Help Others Win
Focus on the Right Things
Show, Don’t Tell
Be Inclusive
Make an Impact
Strive to Be Greater

Simulmedia prioritizes diversity and representation in recruiting, embraces people of all backgrounds and works to create an inclusive culture to help all of our people thrive. We provide equal employment opportunities to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Discrimination of any type is not tolerated at Simulmedia. This policy applies to all terms and conditions of employment, including recruiting, hiring, promotion, termination, time off, and compensation.

Job Type: Full-time

Work Location: Multiple Locations"
"Data Scientist, Listening Experience Insights","Spotify","New-York","Data, Research & Insights
Data Science
The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. We ask that our team members be physically located in Central European time or Eastern Standard/Daylight time zones for the purposes of our collaboration hours.

Location

New York

Job type

Permanent
We are looking for an enterprising Data Scientist professional who is passionate about using data to understand human behavior, translating those insights into meaningful experiences. You have a keen mind for product and the analytical and statistical skills to develop and deliver the insights that drive teams toward impactful solutions. You thrive in highly collaborative environments, working alongside User Research, Product, Design, and Engineering.

What You'll Do:

Develop research questions and perform analyses to understand who our listeners are, how they get value out of personalized listening experiences, and where we can develop our product to bring greater value.
Perform exploratory analyses to understand the quality of our recommendations and their effect on users.
Define, evaluate, dashboard and monitor key metrics to understand impact and triage why metrics move.
Design, analyze, and interpret the results of experiments.
Work closely with the team including data engineering to build lasting solutions to our data modeling
Contribute to the development of the Product Insights function and the wider analytics community at Spotify.

Who You Are:

You have 2+ years of experience in applied research and statistical modeling with a degree or higher in psychology, computer science, statistics, mathematics or similar field.
Competence with SQL and experience performing analysis on large datasets.
You have a strong statistical understanding of online testing methodologies and metric development.
You are comfortable taking on loosely defined problems, translating complex thinking into practical application for diverse audiences.
You are a communicative person who values building strong relationships with colleagues across disciplines to foster product innovation.

Where You'll Be:

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location and is within working hours.
Working hours? We operate within the Eastern Standard time zone for collaboration and ask that all be located that time zone.
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.

Our global benefits

Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.

Learn about life at Spotify

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users."
"Data Scientist I (CNN +)","WarnerMedia","New-York","Company Overview


WarnerMedia is a powerful portfolio of iconic entertainment, news, and sports brands. We bring people, technology, and the world’s best storytellers together to drive culture and meaningful connection. We believe the enduring power of stories can open our eyes to the world, to each other, and to new and different perspectives.

This is our story

We are the now and the next. The power behind the people building the future. We are born from the spirit of innovation. We are created from the idea that people around the world want more, need more, deserve more. We are the home of the global digital revolution. We are CNN.

See what it’s like to work at CNN! Follow us on Instagram, Twitter and Facebook.


Join us. Shape your story here.

The Job

Reporting to the Sr. Manager, Data Science this role will help to develop the predictive insights and prescriptive capabilities behind CNN’s emerging products, transforming first- and third- party data into quantitative findings, visualizations, and automation. Core areas of focus and outcomes include:

Data Exploration. Leverage our internal data platforms to quantify and identify patterns in user engagement and activation, funnel optimization, and retention.
Statistical- and Machine Learning capabilities. Design and implement end-to-end models that predict user behavior and prescribe business actions using Python, R, and/or Spark. Preference will be given to candidates with experience with building time series-based solutions.
Analytical problem-solving. The ability to break down quantitative findings into meaningful insights and develop recommendations that lead to informed decision-making.
Automated solutioning. Transform ad hoc requests for predictive and prescriptive insights into prototype data products, ushering ‘light’ orchestration and monitoring through production-quality builds in collaboration with ML- and data engineers.

This is a collaborative role that will work alongside engineers, analysts, and data scientists to impact cross-functional teams of product managers; revenue, content, and design strategists; consumer scientists; and audience researchers. You'll help make informed decisions faster by providing the tactical information necessary to better understand our users, content, and products.

The Daily


Partner closely with various business and analytics teams, serving as a product data science expert with an eye toward revenue and growth
Participate in answering ad hoc project and data requests from various business units and organizations
Design and build reports that clearly communicate quantitative analyses
Build clear documentation around ad hoc analyses, methodology, and data definitions for raw and munged data
Collaborate with both the data intelligence organization and its technology partners to identify opportunities for new dataproducts

The Essentials


Understanding of applied statistics and machine learning algorithms, including methodologies for regressions, classification, clustering, and causality
2 years' experience building data science driven solutions to solve business problems, preferably within online direct-to-consumer (DTC) organizations
2 years of data science experience querying databases (SQL) and leveraging a scripting language (Python, R, or Scala) to analyze data within a cloud environment· Experience with standard data science orchestration and automation (Airflow, DBT, lambda), and the ability to prototype solutions before transferring to engineering teams for final build approval.
Domain knowledge of the end-to-end consumer journey, including demonstrated ability to form questions and design supporting analysis
A quick learner can work independently in a matrixed environment, adaptability and a strong self-teaching ethic
Thrives in a fast-paced, dynamic, and agile environment that can pivot quickly to capture opportunities from the users and business's changing needs.
Academic background in quantitative field such as business, marketing, behavioral science, or applied math a plus

The Perks

Exclusive WarnerMedia events and advance screenings
Paid time off every year to volunteer for eligible employees
Access to well-being tools, resources, and freebies
Access to in-house learning and development resources
Part of the WarnerMedia family of powerhouse brands

Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law."
"Associate Data Scientist, Ads","Spotify","New-York","Data, Research & Insights
Data Science
We work at the intersection of advertising and messaging technologies to connect millions of brands to billions of fans. As part of the Advertising team, we’re paving the way for a sustainable global Spotify business that allows even more creators to make a living off their art. Come join us and help build the platform that powers promotion at Spotify.

Location

New York or Remote Americas

Job type

Permanent
We are looking for an experienced Data Scientist to work on our Ad Studio or Ad Experience product insights team. We are solving for ways to make it easier for advertisers to access Spotify’s platform. In this role, you’ll join a cross-functional group passionate about, looking critically at how advertising and artist promotion fits into our free listening experience from user-centered perspectives. You will study user behavior, pivotal initiatives and new features, looking critically and empowering data driven decisions on how we build and innovate upon the product. By generating insights, you’ll influence the strategy and direction of Spotify ad products. Above all, your work will impact the way the world experiences music and podcasts.

We are seeking an individual to help us in some of the following ways: build insights and holistic understandings of advertisers and their needs, find opportunities to improve and innovate on our product and features, uncover insights to drive advertiser activation, retention and growth and define success metrics and surface optimization opportunities.

What you'll do

Work closely with cross-functional teams of data scientists, user researchers, product owners, designers, engineers, and business and marketing team stakeholders, who are passionate about Spotify’s success
Perform analyses on large sets of data to extract actionable insights that will help drive product decisions
Translate sophisticated problems and solutions to all levels of the organization
Deliver standardized reporting and dashboards, from design through to delivery and administration
Impact product strategy by leading foundational research & experimentation initiatives to develop a deeper understanding of our product and our users

Who you are

2+ years of industry experience with technical competence to perform sophisticated analytics on large datasets with SQL, coding skills (such as Python, Java or Scala), analytics libraries (Pandas/Numpy, Seaborn, Dplyr, GGplot, etc), & other visualization tools (Tableau)
Consistent track record understanding and solving loosely defined problems and come up with relevant answers and measurable insights to guide product development decisions.
You are capable of taking on multiple initiatives simultaneously
Possess statistical competence (such as regression modeling, a/b testing, significance testing etc)
Experience in building “analytics-friendly” datasets and understand basic data processing and pipelining best practices
Maintain the capacity and passion to translate business objectives into impactful quantitative analyses and results into business and product recommendations
You have a user-focused mentality.
You understand the role and importance of qualitative methodologies in partnership with quantitative methodologies - and you can articulate this.
Adaptable to change: excited by working in a constantly evolving team
You are an effective communicator: stellar communication skills with the ability to distill sophisticated thoughts and strategies into simple, impactful recommendations
It is a plus if you have a proven experience with hands-on sophisticated statistical modeling and machine learning to generate insights and influence product/business decisions and worked in an analytics role within an advertising function.

Where you’ll be

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here. #remote
Working hours? We operate within the Eastern Standard time zone for collaboration

Our global benefits

Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.

Learn about life at Spotify

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users."
"Data Scientist","Hearst Media Services","New-York","Why Hearst Magazines?

Hearst Magazines is one of the largest publishers in the world, with more than 25 brands, including Cosmopolitan, ELLE, Esquire, Good Housekeeping, Harper’s BAZAAR, Popular Mechanics, and O the Oprah Magazine. We reach more than 150 million people every month in the United States alone.But we’re more than just our magazines. We engage our audience across all mediums and channels - print, digital, video and social – with sophisticated content creation, distribution and data capabilities. We create, package and sell products with cutting-edge technology and proprietary platforms. Together, we are reinventing publishing for the 21st century.

We're looking for an exceptional data scientist to build and maintain our warehouse and pipelines for both business intelligence as well as deploying models for our varied requirements. The best candidate will have a let's get it done attitude, the ability to learn about the business and to work with a variety of stakeholders. You have a growth mindset, and want to bring data fluency to your team. How you'll make an impact

What you’ll do

Translate business and functional requirements into robust, scalable, operable solutions with a flexible and adaptable data architecture
Implement data ingestion routines both real time and batch using best practices in data modeling and ETL/ELT processes
Design and implement data microservices to feed products, models, and services
Monitor and improve data warehouse and database performance
Collaborate with engineers to help adopt best practices in data system creation, data integrity, test design, analysis, validation, and documentation
Perform security assessments of the database systems and make required adjustments to eliminate database vulnerabilities
Use profiling tools, debugging logs, performance metrics, and other data sources to make code and application level improvements
Design easy-to-consume, unified data schemas by transforming and cleaning our data
Work with PMs to validate their hypotheses about our product
Pull data, build dashboards, and keep a watchful eye on the overall health of our marketplace
Promote data fluency across the team
Develop interesting insights to drive data-driven content marketing

Who you are

You have 2+ years experience in data engineering with large scale datasets. Ideally at a startup or mid-size tech company
You have 1+ years experience backend engineering
You’re experienced with AWS (EC2, EMR, RDS), PostgreSQL, MongoDB
You are proficient in Node.js, SQL, and MQL
You are proficient in database modeling, designing efficient data structures and database schemas
You are proficient with data wrangling to answer analytical questions
You are proficient in database performance analysis and tuning
You’re experienced with operating high-availability systems
You understand best practices and methods for quantitative and qualitative testing
You have experience building, integrating, and maintaining data pipelines and machine learning models
You are highly skilled at SQL
You have a deep understanding of the internals of database and storage systems
You have coding experience in at least one of {Python, Ruby, Perl, R, Matlab}
You’re familiar with statistical models and analysis methods
You’ve proven to initiate and drive projects to completion with minimal guidance
You have a degree in computer science or equivalent a plus
You have strong verbal and communication skills; ability to paint a compelling narrative with data


#L1-AH1




Degree Level :"
