"original_source","job_url","job_title","company_name","state","description"
"indeed","https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1xek5knTnC5i_gSNNUQ677KkFw824YX3Xvyf6DkeM2VycB-_zAS9fKDHwOMPdvrdR4u0Tv4wl7d-t6NNfzcWVhifd4XJJJedGUxyeMW3HyuTJY5gyoDagjnOUPzPkaak-fUZxt2Ux8bwHvRWnmNYUzvuA78slyBqQd-IGc4ChLQyXc5f2ZG5OOHT52D5-keAwdB38ZCapxbAaFoKVjJ0J1H0IdcakVtUjT8uMf6fQsZodC3_X0ef0VNTSQAJ6Ejz61bvDIZyI3M20euIRnZQ-j33WFmGt-aoFcffVUFMWQHJh50jIEHZklmY58ABfpylmslh4P6VUSlh0mvVGYoWB7bxHmraA3V_7deFX2Cje7gCp9kHJsnR49d_Lj52B63WBFodFVIYWNnukBKGz2aw6MZkwdX8tsKbKxG1_6K-k8LGkLVrhbHDAOpP71MTyNfUeWIWjRJBmxFHhKJJWwURXFa3Vh_d2qlfR83Tb1FROFzl1QOcgjo4A&p=0&fvj=1&vjs=3","Data Scientist","TikTok","California","TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
Recommendation algorithm team plays a central role in the company, driving critical product decisions and platform growth. The team is made up of machine learning researchers and engineers, who support and innovate on production recommendation models and drive product impact. The team is dynamic, fast-pacing, collaborative and impact-driven.
Responsibilities - What You'II Do

Design and analyze experiments to verify product hypothesis and direction;
Audit quality of launch experiment results and guarantee correct measurement of product or technical changes' impact;
Keep track of core metrics and attribute metrics changes to root causes;
Analyze market dynamics, potential gain and cost of new product initiatives, and consult on product strategy;
Use data and experiment to verify hypothesis around bottlenecks in product growth, and consult on direction for improvement;
Work with engineers and product stakeholders to deliver product insights.

Qualifications

Master degree in statistics, econometrics, quantitative sociology or a related scientific major, with 3+ years of related work experience;
Expertise in SQL and programming in Python or R;
Knowledge in basic machine learning and deep learning;
Strong analytical and causal reasoning mindset, and rigidity on statistical correctness;
Strong communication and teamwork skills;
Passion about social product and curiosity to deep dive.

Job Type: Full-time

Work authorization:

United States (Required)

COVID-19 Precaution(s):

Remote interview process
Virtual meetings"
"indeed","https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhYylDqghje0ff2KplHg9yv97rDOpeEevfMVEZYorIBJdJR5DivdqAuyKgwk53_ApgWhdZjeerFBpzJjRDy4D0_Joq1ngX9okz1pz35VQ6gbt8c3EJobv7iFB5bXxlwXcNPxreb79mRoluoorrIL7o1HArASv4_7CTa3QU7s5FNOuhpi4WTDmRsnC9ezH9LQuhRoFtGgYFQ4r6ZIf9Wi5OZpSIVlJz1O_N-MmoU6VxZm_nY7J6y9WDyL5TZMGi-0gKQGPCCD21mV7vKe6kaA43E-O22Xi46ikWYBDjKZI5b18s57xCBhufXJ-J974fxOGmWG_W8V7qfe26VLejmBFU81dOdhXsZxv5TBihsY9w7gJK4lWNfNTbqs3X1_xqBu-_Ruuf_MjZd1TxY5GN-PI9-1VIOQXKWf7cjrFL_puYcZNt9cmJlnMpru4_HOG8NuKUyW5d6DBXybTorbPux5d0_4IW169XGvNj73_OcYq1HLmR0rkCGW0tsiNs_tDhohg92pAzechLPxRXstKs_KBIDKbuqJav-_rHYYhOdeT_FUjH1vftRMv3zTku65PR79o=&p=1&fvj=0&vjs=3","Data Scientist (Ondot)","Fiserv","California","Ondot, now part of Fiserv, has helped over 4,500 financial institutions modernize their credit and debit cards with digital technology. Over the last 10 years, Ondot has won numerous awards for its technology, and is excited to bring this innovation to Fiserv.

Job Description

Summary

As a member of the Data Scientist team, you will have the opportunity to work on fintech use cases, use the cut-edge AI technology to discover data insights for card holders based on the unique combination of real-time transaction data, merchant data, consumer data and location data, and build Data Insight products that bring intelligence to the consumer’s digital card management and card spending experience.

Responsibilities

The candidate will work on improving the Transaction Enrichment (TE) solution, and apply exploratory data analysis, statistical algorithms and machine learning algorithms to cleanse raw payment transaction data and enrich it with additional attributes, such as merchant names, locations, merchant contacts, merchant categories, logos, etc. The responsibilities include:

Work with managers and cross-functional product teams to create the prioritized list of data use cases and problems to solve
Conduct independent data analysis to gain a thorough understanding of the main characteristics and patterns of the data, and identify the main data issues to resolve and the main areas in algorithms to improve
Leverage data warehousing and visualization methods to create dashboards and tools for effectively performing data analysis, model evaluation, and actionable data insight storytelling
Recommend statistical or machine learning methods to solve the data issues
Process data from multiple data sources to create clean and normalized datasets for training, validation and testing
Execute model training, hyperparameter tuning, feature selection, and performance evaluation
Develop innovative machine learning algorithms to solve complex classification problems
Develop advanced NLP algorithms for merchant and transaction data enrichment
Develop state-of-the-art computer vision algorithms for image processing

Qualifications

Minimum of 3 years-experience in Data Science.
Must have passion about data: you feel a strong sense of achievement when you discover the hidden patterns within the data, the exceptions not dealt with before, the beauty of feature engineering, and the new model yielding best performance without overfitting
Strong data processing skills and abilities to deal with large amount of data
Proficient with at SQL, Python, and data processing pipeline
Strong experience in developing machine learning models, such as classification, NLP, NER, neural network, RNN, CNN, and other deep learning algorithms using Tensorflow or PyTorch
Strong experience in feature engineering, hyperparameter tuning, and model training
Extremely attentive to metric and details: precision, recall, accuracy, outliers, anomalies, trends, etc.
Respect data privacy and data governance rules and regulations
Ability to communicate clearly with different stakeholders
A team player who can learn and grow with other team members, while contributing to the success of the product

Education: A Master’s or a Bachelor’s degree in Math, Statistics, Data Science, Computer Science, or other related fields. Master’s degree preferred."
"indeed","https://indeed.com/rc/clk?jk=d06f716613371f31&fccid=5c92f2e50cf01fad&vjs=3","Data Scientist","JPL/NASA","California","Job Details

New ideas are all around us, but only a few will change the world. That’s our focus at JPL. We ask the biggest questions, then search the universe for answers—literally. We build upon ideas that have guided generations, then share our discoveries to inspire generations to come. Your mission—your opportunity—is to seek out the answers that bring us one step closer. If you’re driven to discover, create, and inspire something that lasts a lifetime and beyond, you’re ready for JPL.

Located in Pasadena, California, JPL has a campus-like environment situated on 177 acres in the foothills of the San Gabriel Mountains and offers a work environment unlike any other: we inspire passion, foster innovation, build collaboration, and reward excellence.

Are you intrigued about artificial intelligence and autonomous systems? Be part of the team leading the development of innovative space technologies such as self-piloting and onboard science processing systems!

The Artificial Intelligence, Observation Planning and Analysis Group is looking for a Data Scientist. Our group works on fundamental research problems leading to unique software applications in spacecraft autonomy, scientific data analysis, and mission operations automation and onboard analysis for real-time decisions, and we’re hoping you’d like to join us.

Development projects will include automation of ground and flight operations for communications stations, space missions, marine vehicles, aerial vehicles, including fleets of vehicles. You will use Artificial Intelligence technologies to partially and fully automate critical systems for scheduling, planning and resource allocation. You will support efforts in these areas.

This job will entail but is not limited to:
Support NASA missions, technology research, and groundbreaking projects with the National Security Program Office.
Support ongoing advanced technology demonstration flight missions.
Design and develop complete components of software tools for data analytics.
Perform analysis on a wide variety of large and disparate datasets using complex techniques.
Develop scheduling algorithms for autonomous systems that must interpret large amounts of input state, constraint, and event data to generate actions and scheduled to achieve higher level goals.
Communicate results to internal customers.
Apply and combine current and emerging techniques and tools in novel ways.
Develop and combine complex data analysis techniques and methods for a specific application.
Qualifications
Typically requires a Bachelor's degree in Computer Science or related discipline with a minimum of 3 years of related experience; Master's degree in similar disciplines with a minimum of 1 year of related experience; or PhD in similar disciplines.
Broad knowledge in one or more related fields of the following areas: software development, artificial intelligence, operations research, resource allocation mechanisms, quantitative modeling, machine learning, computer vision, risk models and probabilistic methods.
Experience in wide application of principles, theories, concepts and techniques in programming languages such as C++, C, Python, Java, and Artificial Intelligence Techniques and concepts.
Desired Qualifications:
Strong C++ experience
Experienced with ROS or f-prime
Extensive knowledge of applicable industry and/or academic practices and standards in Software design & development and Computer Science.
Experience in interdisciplinary teams.
It is preferred, but not required, to have an active Top Secret clearance based on a Single Scope Background Investigation(SSBI) within the last five years and be approved for Sensitive Compartmented Information (SCI) access.

JPL is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, citizenship, ancestry, age, marital status, physical or mental disability, medical condition, genetic information, pregnancy or perceived pregnancy, gender, gender identity, gender expression, sexual orientation, protected military or veteran status or any other characteristic or condition protected by Federal, state or local law.

In addition, JPL is a VEVRAA Federal Contractor.

EEO is the Law.

EEO is the Law Supplement

Pay Transparency Nondiscrimination Provision

The Jet Propulsion Laboratory is a federal facility. Due to rules imposed by NASA, JPL will not accept applications from citizens of designated countries or those born in a designated country unless they are Legal Permanent Residents of the U.S or have other protected status under 8 U.S.C. 1324b(a)(3). The Designated Countries List is available here."
"indeed","https://indeed.com/rc/clk?jk=5df4f19a4abba7a9&fccid=a5b4499d9e91a5c6&vjs=3","Data Scientist, Operations Data Science - Remote","Google","California","Note: Google’s hybrid workplace includes remote and in-office roles. By applying to this position you will have an opportunity to share your preferred working location from the following:

In-office locations: Mountain View, CA, USA.
Remote location(s): United States.

Minimum qualifications:

Master's degree in Operations Research, Industrial Engineering, Statistics, related field, or equivalent practical experience.
2 years of relevant work experience (e.g., as a data scientist) or equivalent. Analytical engagements outside class work while at school can be included.
Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL)


Preferred qualifications:

PhD in Operations Research, Industrial Engineering, Statistics or related field.
4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.
Experience designing and building statistical forecasting models.
Experience designing and building machine learning models.
Excellent problem-framing, problem-solving and project management skills.
Excellent customer service and team collaboration skills.
About the job

At Google, data drives all of our decision-making. Data Scientists work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution.

As a member of the Operations Data Science team, you will apply operations research and statistical methods to solve challenges related to compute, storage, network, and datacenter capacity for both Google’s internal services and Google Cloud Platform. You will work broadly across Google’s Platforms Engineering, Systems Infrastructure, and Site Reliability Engineering teams to optimize our deployment of resources and drive innovation in our software stack, allowing for efficient use of resources.

As a Data Scientist, you will think critically and strategically about Google’s cloud as a technology, a business, and as an operation. You will be comfortable discussing total cost of management with hardware engineers, resource optimization with software engineers, or reviewing fleet plans and deployment policies with operations executives, all based upon the analytical models that you will be developing.

Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.

Additional Information
(Colorado only*) Minimum salary of $95,000 + bonus + equity + benefits.

Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation for this role when being hired into our offices in Colorado.
Responsibilities
Lead projects with hands-on analysis and modeling, drawing from multiple of analytical methods to choose the right tool and right level of complexity appropriate for the business challenges.
Engage broadly with the organization to identify, prioritize, frame, and structure complex and ambiguous challenges, where advanced analytics projects or tools can have the biggest impact.
Identify and communicate the challenges and opportunities that the group should be working on.
Help define the analytical direction and influence the direction of the associated engineering and infrastructure work.
Articulate business questions and use mathematical techniques to arrive at an answer using data. Translate analysis results into business recommendations.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
"indeed","https://indeed.com/rc/clk?jk=d7ccd83e7f076306&fccid=caed318a9335aac0&vjs=3","Data Scientist, Monetization","TikTok","California","TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The Monetization Office supports the strategies and operations of multiple aspects of the business such as advertisement, e-commerce, live streaming, etc. Covering both domestic and global business, we make sure of a sustained and steady growth of revenue, improve the operating workforce and financial capital efficiency, and ensure the safety and compliance of the business.

The Data Science team, within the Monetization Office, are involved in all phases of analytics projects to support and optimize Bytedance's monetization business. Coming from diverse disciplines that include business, engineering, mathematics, operations research and statistics, we build data-driven technologies that help align the highest-level corporate strategies with effective day-to-day operations, and unlock business growth potential. As part of the team, you will partner closely with strategy and product teams in a high-impact and fast-paced environment, exploring data and building advanced analytical models to find insights, diagnose problems and tell compelling stories.

What You'll Do

Lead data-driven projects from definition to execution, from gathering data, defining metrics to communicating actionable insights;
Propose innovative solutions by exploratory data analysis from complex and high-dimensional datasets, applying statistical and modeling techniques to evaluate performance, make valuable discoveries and solve non-routine analysis problems;
Use a flexible, analytical approach to design predictive models and advanced algorithms that lead to optimal value extraction from the data;
Collaborate with various partners and influence leadership to continuously make impact, drive monetization strategy and business evolvement;
Visualize and synthesize analytics and statistical approaches into easy-to-consume storylines for the team to provide indicated actions for executive audiences
BS degree or above in a quantitative discipline (e.g., Statistics, Mathematics, CS) or equivalent practical experience. Industry experience in data science is strongly preferred.
High proficiency in fundamental SQL and demonstrated skills in handling terabyte size datasets, diving into data to discover hidden patterns and using visualization tools ((e.g. Tableau, PowerBI) to present results.
Experience with statistical software (e.g. R, Python).
Experience building data science models (Regression, Decision Trees, K-Means, etc.). Knowledge of ML and risk control field a plus.
Strong analytical and problem solving ability with strong attention to detail and accuracy.
Excellent communication skills and able to manage stakeholders across businesses and levels.
Proficiency in Mandarin a plus.
Able to work in a fast-paced and challenging environment.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com"
"indeed","https://indeed.com/rc/clk?jk=f5b5d301fc3ed4f4&fccid=25b5166547bbf543&vjs=3","Professional Data Scientist","AT&T","California","AT&T’s Marketing Enablement Technology & Analytics organization is committed to driving individual product excellence, while accelerating our multi-product household base.

You already know what this will say, because Machine Learning and Predictive Analytics is your thing!

You know the value of anticipating customer behavior – will they stay, will they go, will they buy more – is what enables a business to allocate resources efficiently, and creating a crystal ball to predict the future is what inspires you. You know to use ML creatively to analyze business trends and identify anomalies to produce actionable insights.
More data is no problem here… millions of customer relationships across multiple products yields a data playground measured in terabytes, and you’ve got ‘been there, done that’ experience. You’re a technique chameleon, evolving your toolset and modeling approaches to wring out the last drops of performance possible to maximize your impact on the business. And your endgame is a suite of machine learning models that could do this work for you!

What you get to do:
Utilize ML to analyze market and customers actions, detecting anomalies to drive business strategy and tactics. Predict the next actions of every consumer doing business with AT&T!

Preferred locations are El Segundo, CA; Dallas, TX; or Atlanta, GA. Other locations may be considered.

Qualifications:
2-5 years in advanced analytics field
1+ years in predictive modeling, including buy, churn, and upsell/cross-sell
2-3 years in Python and R
Experience in Machine Learning techniques beyond linear regression
Advanced SQL experience
Master’s degree or advanced coursework in Analytics, Statistics, Computer Science, or Mathematics
Additional experience with survival modeling will be a huge advantage
Ability to translate complex analysis into simplified actionable insights preferred
Experience in business analysis and marketing strategy preferred
Ready to join our team? Apply today!

Our Professional Data Scientists earn between $115600 – $231100 yearly. Not to mention all of the other amazing rewards that working at AT&T offers. From health insurance to tuition reimbursement and paid time off to discounts on products and services just to name a few. There is a lot to be excited about around here.




As part of the Predictive Analytics and Customer Valuation team, you’ll focus on how customers and prospects can deliver optimum value for the business. From purchase to retention, from upsell to cross-sell, and for all spaces in between, you’ll get to build Predictive Models that anticipate outcomes. Beyond building laser-accurate models, you’ll be an advocate for your work by partnering with clients to convey the drivers influencing those outcomes, and the behaviors and characteristics of those likely to act – or not. You’ll challenge the conventional approach of building a model and simply rescoring it each month, employing new machine learning techniques for real-time scoring and automated calibration.

Details:

Build anomaly detection algorithms to automatically identify strategic and tactical opportunities
Build out customer-level propensity models to fuel acquisition, cross-sell/up-sell, retention strategy
Build marketing offer models to determine optimal decisioning hierarchy, presenting customers with best offers
Identify key segments / clusters of customers who will act – and those who won’t – and learn what drives the difference… and how to create opportunities from these learnings
Work closely with pricing, marketing, credit & collections, finance, and retention to improve their ability to acquire, serve, and retain every customer household while maintaining profitability for our shareholders
You’ll have the opportunity to grow your personal brand across several organizations as the expert on customer value.




Qualifications:

2-5 years in advanced analytics field
1+ years in predictive modeling, including buy, churn, and upsell/cross-sell
2-3 years in Python and R
Experience in Machine Learning techniques beyond linear regression
Advanced SQL experience
Master’s degree or advanced coursework in Analytics, Statistics, Computer Science, or Mathematics
Additional experience with survival modeling will be a huge advantage
Ability to translate complex analysis into simplified actionable insights preferred
Experience in business analysis and marketing strategy preferred

Ready to join our team? Apply today!

Our Professional Data Scientists earn between $115600 – $231100 yearly. Not to mention all of the other amazing rewards that working at AT&T offers. From health insurance to tuition reimbursement and paid time off to discounts on products and services just to name a few. There is a lot to be excited about around here."
"indeed","https://indeed.com/rc/clk?jk=119743b454440cb9&fccid=8ea54e852901f8b5&vjs=3","Senior Data Scientist","Red Bull","California","Reporting to the Director, Data Science, you will be one of the first on the Red Bull Data Science team and work with our HQ Data Science team in Austria. As the Senior Data Scientist, you will apply your advanced analytics, data wrangling, and visualization skills to solve problems across marketing, sales, and supply chain. You'll partner with senior business leaders, helping them to determine and refine problem statements while developing frameworks with the goal to help the business understand their data and create new insights with impact. You will stay on top of developments in the analytics community and act as a knowledge hub for data-related issues at Red Bull. If you are motivated by solving problems and making an impact with data, this is the role for you.

RESPONSIBILITIES
Areas that play to your strengths

All the responsibilities we'll trust you with:

Expand all

Advanced Analytics

Manage advanced analytics projects from ideation through model development and delivery.
Develop approaches through a foundation of data, and build production-level models.
Identify and gather data from sources, assess data quality, complete exploratory analysis, and structure data for the task.
Support the development and facilitation of analytics training programs, instilling data-support mindset.

Collaboration and Connection

Lead the way with partners (marketing, sales and supply chain), communicating with ease while creating a partnership.
Communicate approaches with partners in easy-to-understand terms, summarizing important findings and outcomes that allow business professionals to take action.
EXPERIENCE
Your areas of knowledge and expertise

that matter most for this role:

7+ years of quantitative and qualitative research and analytics experience in a business context
Experience in application of statistical modeling languages such as R (preferred), Python or SAS.
SQL skills.
Experience working with large datasets of structured and unstructured data and developing experimental frameworks and designs.
Great applied statistics skills, such as distributions, statistical testing, predictive modeling, correlation analysis, regression.
Experience working with ESRI/ArcGIS or equivalent geospatial tools
Experience using visualization tools such as Tableau, PowerBI, and other viz packages such as ggplot, R-Shiny, or D3.js.
Project management skills.
Bachelors degree preferred
English, additional languages an advantages
Travel up to 10%"
"indeed","https://indeed.com/company/Denali-System-Co.,-Ltd/jobs/Data-Scientist-037d52ea65e7a0f0?fccid=245a87d75268ec19&vjs=3","Data Scientist -- Full-time",NA,"California","Data Scientist -- Full-time, entry level

About Us

Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.

Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!

Job Description

This is a full-time position based in Mountain View, California. We are looking for an entry level Data Scientist with strong analytical and development skills to join our team. The candidate will be part of a growing team and have a chance to solve real world issues.

Responsibilities:

Formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interests.
Designing, training, evaluating machine learning models.
Collaborate with team members and business partners to deliver high quality solutions and recommendations to a variety of problems across digital and merch
Bring data to life through storytelling in a clear and meaningful way to audiences with mixed levels of technical expertise
Reconcile divergent demands from multiple stakeholders in a fast-paced work environment.

Qualifications:

Master’s degree in Data Science, Computer Science, Statistics or related.
Experience as a Data Scientist, 1+ years’ professional experience in machine learning. Familiar with deep learning and mainstream methods
1+ years applying business logic to extract and cleanse large datasets from structured and unstructured data sources
1+ years of professional experience analyzing complex data, drawing conclusions, and making recommendations.
Familiar with commonly used data analysis methods and very good understanding of statistics methods.
Experience with support vector machinate (SVM), decision tree, regression analysis and recommendation models
Expertise in SQL with proficiency in Python or R programming language and related analysis packages.
Familiar with Linux OS.
Solid written and spoken communication skills.

Preferred but NOT required:

Experience with precision marketing and related fields
Proven Experience in working with large scale data systems
Fluent in Mandarin Chinese.

Job Type: Full-time

Pay: Up to $150,000.00 per year

Schedule:

Monday to Friday

Education:

Master's (Preferred)

Experience:

Machine learning: 1 year (Preferred)
Data science: 1 year (Preferred)

Work Location:

One location

Work Remotely:

Temporarily due to COVID-19

Work Location: One location"
"indeed","https://indeed.com/rc/clk?jk=03832a3a8d4ffc93&fccid=ab0ef6192557a06f&vjs=3","Data Scientist","UCLA","California","The UCLA Latino Policy & Politics Initiative (LPPI) seeks a data scientist to help manage and grow the organization's big data projects. LPPI champions nonpartisan, evidence-based domestic policy solutions that improve the economic, political, and social landscape for Latinos and other communities of color in states and localities across the U.S. LPPI leverages UCLA's cross-disciplinary strengths to create an enterprise-wide home for Latino social policy with expertise in over a dozen issue areas including civil rights, criminal justice, educational equity, health access, housing, and voting and civic participation. LPPI fosters innovative research, leverages policy-relevant expertise, drives civic engagement, and nurtures a leadership pipeline to propel viable policy reforms that expand opportunity for all Americans. Under the direction of the Director(s) of Research and the Faculty Director, the data scientist will serve as an integral part of the research team.

Percentage of Time:
100

Shift Start:
8:00 am

Shift End:
5:00 pm

Qualifications for Position

18
Records

Qualifications

Required/Preferred

Applicants must have a bachelor's degree in computer science, statistics, economics, mathematics or other relevant field, or equivalent combination of education and experience; master's degree preferred. Applicants must also have at least one year of relevant professional experience (two to three years preferred)

Required

Strong SQL skills

Required

Strong skills in Python or R

Required

Strong skills in data visualization

Required

Attention to detail and ability to organize and document workflow

Required

Strong initiative and a resourceful approach to problem-solving

Required

Superior verbal and written communication skills, including the ability to communicate technical results and recommendations to non-technical stakeholders

Required

Ability to work independently and as part of a team

Required

Strong interpersonal skills

Required

Ability to multi-task with demanding timeframes

Required

Ability to work discreetly with sensitive and confidential data

Required

Experience working in an academic or think-tank environment preferred

Preferred

Substantive knowledge or experience in at least one of our core research areas: criminal justice, poverty, education, voting rights, and labor

Preferred

Substantive knowledge of SQL database internals, including query optimization, indexing, and execution plans

Preferred

Substantive knowledge of the design and implementation of ETL pipelines, relational databases, and data warehouses. Experience with cloud computing and Big Data frameworks a plus

Preferred

Substantive knowledge of quantitative research methods including machine learning and statistics. Knowledge of causal inference methods a plus

Preferred

Project management Experience

Preferred

Experience with Business Intelligence (BI) platforms

Preferred

Additional Posting Information

Bargaining Unit:
99-Policy Covered

Application Deadline:
10-31-2021

External Posting Date:
"
"indeed","https://indeed.com/rc/clk?jk=d8aac838cac8a514&fccid=0e8f04b45c1591f5&vjs=3","Senior Data Scientist - Flexible Location, CA","PG&E Corporation","California","Requisition ID # 114470

Job Category : Accounting / Finance
Job Level : Individual Contributor
Business Unit: Finance
Job Location : San Francisco

Department Overview
The Enterprise Risk and Operational Risk Management (EORM) organization is responsible for enabling the business to effectively manage risk in key areas of the enterprise. EORM organization is charged with overseeing all operational risk management related to PG&E’s operations and public safety including evaluating risks associated with wildfires, nuclear, dams, natural gas, cyberattacks and natural disasters.

Position Summary
The headquarter location will be determined by hiring leader and successful candidate. You must be able to work out of the Oakland office at least once a week.

You will be responsible for designing, developing, and executing scripts, programs, models, algorithms, and processes, using structured and unstructured data from disparate sources and sizes, generating actionable insights for strategy and policy development, process improvement, and product enhancement. You will also work on technical development phases: data engineering, analytics/modeling, and visualization/user interface; interact with technical and non-technical clients to resolve analysis and technical issues; and work with teams, clients, and senior leadership throughout the development cycle practicing continuous improvement.

Responsibilities:
Share and collaborate with other PG&E data science professionals.
Work closely with domain experts to develop relevant domain knowledge in the electric and gas utility, as well as knowledge of related datasets.
Gather, clean, transform, and/or reduce data from dissimilar sources from across PG&E.
Work with business partners to advance business processes, based on analytical findings.
Apply machine learning and other analytical modeling methods to develop robust and reliable analytical models, including visualizations, within PG&E’s software development environment.
Document data sources, methodology, and model evaluation metrics.
Serve as the technical lead for the development of simple models.
Develop and present summary presentations to management

Qualifications

Minimum:
Bachelor’s degree in computer science, econometrics, economics, engineering, mathematics, applied sciences, statistics or job-related discipline or equivalent experience
5 years of data analytics and modeling experience; OR 3 years of data analytics and modeling experience and a Master’s degree in a related field; OR a doctorate in a related field

Desired:
Master’s or PhD degree in statistics, data science, decision science, computer science, quantitative analysis, information systems, operations research, business, engineering, financial engineering, economics, or other equivalent fields
Strong foundation of probability, probability distributions, statistics and risk analysis
Competent programming skills in a language especially in Python and familiarity with Git
Demonstrated experience of Monte Carlo simulation methods and models
Familiarity and experience with Bayesian statistics and inference
Experience in quantitative risk analysis or Probabilistic Risk Assessment
Ability to work independently and proactively and to take initiative to improve analytical methods or processes
Experience with the elements of Model Lifecycle Management
Experience using retrieving data from structured database using SQL
Strong Excel and PowerPoint skills
Strong data visualization skills and techniques for communicating risk-related data and modeling results in a clear and visually compelling manner
Strong problem-solving, analytical, and organizational skills with attention to detail
Ability to share knowledge, information and progress with the team effectively and efficiently
Effectively copes with change, makes decisions and acts without having complete information and comfortably handles risk and uncertainty.
Ability to research and apply knowledge, skills, and techniques to risk analysis
Ability to manage conflicts in a positive, non-abrasive manner
Ability to communicate with peers, leadership, and stakeholders in a clear and effective manner
Highly motivated and self-driven
Ability to collaborate with people with diverse background and skillsets
ability to effectively manage and prioritize multiple and diverse tasks and adhere to tight deadlines
Knowledge of the business and its environment, key issues, and trends"
