"value","job_title","company_name","state","description"
"/rc/clk?jk=25efb959e2343e4d&fccid=de71a49b535e21cb&vjs=3","Data Scientist","Northwell health","New-York","Job Description

Job Description

Collaborates with the leadership to advance data science strategy and programs; works collaboratively with both Information Technology members and the clinical community to evaluate and implement data science projects, systems and initiatives at both the department and the enterprise level. Ensures that these projects and their outputs enhance clinical quality, patient safety, and institutional efficiency, focusing on all aspects of data science, including data gathering and wrangling, exploratory data analysis, data modeling and machine learning, and model implementation and evaluation. Provides expertise on mathematical concepts for the broader applied analytics team.

Job Responsibility




Works collaboratively to design, implement and maintain data science models and applications.
Works on programs to apply data science methodologies, including predictive modeling and machine learning, data analytics and visualization, and usability and design, to departmental, service line, and enterprise applications and functions.
Synthesizes complex data-related problems into actionable business and/or clinical strategy, and communicate findings to appropriate end-users and stakeholders.
Assists with the development of specifications to support the design of new or modified data science projects, with a focus on data-driven optimization, enhancement, and development.
Assists in the evaluation of projects, systems, and initiatives at the department, service line, and enterprise level; ensures projects and their outputs enhance clinical quality, patient safety, and institutional efficiency, focusing on all aspects of data science, including data gathering and wrangling, exploratory data analysis, data modeling and machine learning, and model implementation and evaluation; ensures high quality execution of all proposed projects.
Knowledgeable in present and planned data science projects and maintains voice of the customer in all project initiatives.
Serves as the link between the clinical staff (customer) requirements and IS capabilities.
Assists in ensuring that systems are implemented to support organization initiatives and goals to improve the quality of patient care, to maximize patient safety, and to provide operational efficiencies.
Serves as a resource to the leadership; demonstrates familiarity with current hospital information systems.
Operates under general guidance and work assignments are varied and require interpretation and independent decisions on course of action.
Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.

Job Qualification




Bachelor’s Degree in Computer Science, Informatics, Statistics, Engineering, Data Science, or related field, required. Master’s Degree, preferred.
Minimum of two (2) years of post-graduate training or experience involving quantitative data analysis, required and working with clinical data, data science, and machine learning, preferred.
Working familiarity with basic medical and health information technology concepts, including standardized terminologies and ontologies and electronic health records, as well as Data Warehousing and Business Intelligence tools, required.
Expertise in working with SQL relational databases and statistical or general programming languages (e.g., Python, R), required.
Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms."
"/company/Crosswalk-NYC/jobs/Fashion-Marketing-Junior-Data-Scientist-deb0811dac91f3d7?fccid=7f1963dcde296a28&vjs=3","Data Scientist – Deep learning",NA,"New-York","Data Scientist – Deep learning
Remote
Market leading salary plus benefits

TECH STACK: Object-Oriented Programming languages

One of the fastest growing Insurtech companies in the US is looking for a Data scientist with a experience in Deep learning to join.

ABOUT THE COMPANY

This organisation has recently received a huge seed investment to scale out their platform across the US and as a direct result are investing multiple millions of dollars into their advanced analytics capabilities.

ABOUT THE ROLE

In this role the chosen candidate can expect to be:

Analyse business problems to provide answers to given problems or issues
Collect and clean data from various sources, both structured and unstructured
Design and develop deep learning algorithms within very large data sets
Work closely with data engineers to deploy the models into production
Working with deep learning algorithms such as CNN

SKILLS & EXPERIENCE:

The chosen candidate will have:

A master’s degree or PhD in Computer Science, Electrical Engineering, Statistics, Mathematics or Physics
A strong foundation in machine learning and deep learning
Experience with a statistical modelling / data visualisation tool such as TensorFlow, MatLab or Tableau
Strong coding skills in an object orient programming language
Strong technical communication skills to both technical and non-technical audiences

BENEFITS

The successful applicant will get the chance to work for one of the fastest growing Insurtech brands in the US today.

Job Type: Full-time

Pay: $120,000.00 - $175,000.00 per year

UNFORTUNATELY, THIS ORGANISATION ARE UNABLE TO TRANSFER OR SPONSOR ANY WORK VISA's AND THIS ROLE IS NOT OPEN TO CONTRACTORS.

Reference ID: DW178

Job Type: Full-time

Salary: $120,000.00 - $175,000.00 per year

Benefits:

401(k)
Health insurance
Paid time off

Schedule:

Monday to Friday

Supplemental Pay:

Bonus pay

Application Question(s):

will you require sponsorship in the future?

Education:

Master's (Required)

Experience:

Python: 2 years (Preferred)

Work Remotely:

Yes"
"/rc/clk?jk=48698893e0b23db7&fccid=fb64df2c5ea4a9ff&vjs=3","Associate Data Scientist",NA,"New-York","Lightyear Health is looking for an Associate Data Scientist to support data-driven decisions that improve the quality of life for seniors. You'll be an integral part of a fast-growing health-tech startup with a vibrant, supportive culture, and work closely with experienced data scientists.

As an Associate Data Scientist, you will have the opportunity to learn from the team around you and collaborate with other areas of the organization such as Engineering, Product, and Marketing. This is a perfect role for those looking to further their experience in Data Science and make an immediate impact on the business.

Here's what you'll do:

Leverage your expertise in analytics to surface actionable insights from clinical and business data
Build and maintain reliable data tools and pipelines to power our analyses that inform company operations and patient care
Own your analytic projects, proactively identify data issues, test assumptions, and propose solutions
Support other data science projects as needed

We'd love to hear from you if you have the following:

1+ years of professional experience in data analytics; experience with health data preferred
Experience using SQL and other data science tools (e.g. Python, R)
Solid understanding of inference and confounding
Willingness to learn new skills and hone one's craft
Strong communication and collaboration skills
Willingness to take ownership of your work
Understanding of machine learning basics is a plus!
Strong analytics fundamentals - a degree in statistics, economics, a related field, or similar professional experience

Anticipated Salary Range

We're committed to an inclusive, consistent, and equitable approach to compensation and anticipate that this position will earn between $90,000 and $110,000 USD annually. The exact salary will depend on (1) how many years of relevant and transferable experience the candidate brings to the role and (2) the internal level at which the candidate is hired in relation to our career development framework. All team members also receive a stock option grant.

About Lightyear Health

At Lightyear Health, we demand more for people aging with cognitive and functional impairments. We envision a world where every resident has access to the world's foremost experts in geriatric care.

Lightyear Health is a team of experts in geriatric care who provide specialized healthcare to individuals needing post-acute care. Taking a proactive approach (and enabled by our proprietary software) our team collaborates with individuals, families, and caregivers to design care plans that address the specific needs of each person. We deliver healthcare directly to the bedside and accept nearly all insurances so that quality care is convenient and accessible.

Working at Lightyear Health

We know that our people are indispensable to achieving our mission, and strive to build an inclusive environment that enables everyone to do their best work. In that spirit, we deliberately hire people from all walks of life - including race, gender identity, sexual orientation, disability status - and from all parts of the United States and Canada. If you're motivated by our mission and eager to contribute to our team and culture, we'd love to hear from you.

Specific benefits for full-time employees include:

30 days of paid time off (PTO) per year, up to 10 of which can roll over to the following calendar year (note that this will start in 2022; there are no set days for the remainder of 2021)
12 weeks of fully paid parental leave
Competitive medical, vision, and dental health plans
401(k) plan through Human Interest, including an employer match of 1% of annual salary
Stock option grants for all team members"
"/rc/clk?jk=91d380e2d13a3f53&fccid=fe404d18bb9eef1e&vjs=3","Data Scientist, Monetization","TikTok","New-York","TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The Monetization Office supports the strategies and operations of multiple aspects of the business such as advertisement, e-commerce, live streaming, etc. Covering both domestic and global business, we make sure of a sustained and steady growth of revenue, improve the operating workforce and financial capital efficiency, and ensure the safety and compliance of the business.

The Data Science team, within the Monetization Office, are involved in all phases of analytics projects to support and optimize Bytedance's monetization business. Coming from diverse disciplines that include business, engineering, mathematics, operations research and statistics, we build data-driven technologies that help align the highest-level corporate strategies with effective day-to-day operations, and unlock business growth potential. As part of the team, you will partner closely with strategy and product teams in a high-impact and fast-paced environment, exploring data and building advanced analytical models to find insights, diagnose problems and tell compelling stories.

What You'll Do

Lead data-driven projects from definition to execution, from gathering data, defining metrics to communicating actionable insights;
Propose innovative solutions by exploratory data analysis from complex and high-dimensional datasets, applying statistical and modeling techniques to evaluate performance, make valuable discoveries and solve non-routine analysis problems;
Use a flexible, analytical approach to design predictive models and advanced algorithms that lead to optimal value extraction from the data;
Collaborate with various partners and influence leadership to continuously make impact, drive monetization strategy and business evolvement;
Visualize and synthesize analytics and statistical approaches into easy-to-consume storylines for the team to provide indicated actions for executive audiences
BS degree or above in a quantitative discipline (e.g., Statistics, Mathematics, CS) or equivalent practical experience. Industry experience in data science is strongly preferred.
High proficiency in fundamental SQL and demonstrated skills in handling terabyte size datasets, diving into data to discover hidden patterns and using visualization tools ((e.g. Tableau, PowerBI) to present results.
Experience with statistical software (e.g. R, Python).
Experience building data science models (Regression, Decision Trees, K-Means, etc.). Knowledge of ML and risk control field a plus.
Strong analytical and problem solving ability with strong attention to detail and accuracy.
Excellent communication skills and able to manage stakeholders across businesses and levels.
Proficiency in Mandarin a plus.
Able to work in a fast-paced and challenging environment.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com"
"/rc/clk?jk=75723c339834d5e5&fccid=5bcd1ef0a7f4fb99&vjs=3","Staff Data Scientist, Freemium","Spotify","New-York","Data, Research & Insights
Data Science
The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way. Our team grows Spotify’s audience by finding future listeners around the world and delivering the right value to them, at the right time. With research, product development, product design, engineering, and marketing all collaborating in one organization, we’re able to quickly create meaningful features and services for millions of people around the world, resulting in joyful, long-lasting relationships with Spotify.

Location

New York or Remote Americas

Job type

Permanent
We are looking for a Staff Data Scientist to join the Freemium Product Insights team. The team consists of 85 highly motivated, friendly individuals, specialising in both Data Science and User Research, using their skills to build a holistic understanding of our Free and Premium users.

As part of our team, you will study user behaviour, strategic initiatives, product feature experimentation, and more, bringing data and insights into every decision we make. Your work will impact how we think about our users and our ability to identify and satisfy their needs. This is a highly impactful role where you and the rest of the team will be able to directly impact how millions of Spotify users are supported around the world.

What You'll Do

Perform analyses on data sets to extract meaningful insights that will help drive strategic and product decisions
Work on larger ‘user-understanding projects’ to inform the direction of the user experience
Work end-to-end on projects to ensure your findings are executed, tested and communicated in the desired way
Work closely with cross-functional teams of product owners, engineers, designers, user researchers, business partners and others across the company who are passionate about building great experiences for our users.

Who You Are

You have extensive experience in a hands on Data Science role
You have the technical competence to perform advanced analytics
Coding skills (such as Python, R or similar)
Analytics tools experience (such as SQL, Pandas, R, Spark or similar)
Data visualisation tools (such as Tableau, Qlik Sense, matplotlib, ggplot2 or similar)
You have extensive experience performing analysis with large datasets
You have experience designing, monitoring and analyzing A/B tests or other methods of causal inference
You are a self-driven person who’s capable of tackling loosely defined problems and driving strategic impact
You are a communicative person that values building strong relationships with colleagues and partners and have the ability to explain complex topics in simple terms
You’re capable of and have experience mentoring more junior data scientists to set them up for success
You thrive in a fast-paced, dynamic and high energy environment and are comfortable with ambiguity

Where You'll Be

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the EMEA region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.
Working hours? We operate within the Central European time zone for collaboration
We ask that our team members be located within Greenwich Mean time zone, Central European time zone, or Eastern European standard time zone for the purposes of our collaboration hours

Our global benefits

Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.

Learn about life at Spotify

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users."
"/rc/clk?jk=8357d8c921f54652&fccid=ca94b6e9b2058331&vjs=3","Data Scientist I",NA,"New-York","No one makes cross-channel TV advertising as simple, transparent, or effective as Simulmedia. We're revolutionizing advertising by bringing best-in-class data, science, software and services to TV, streaming, and video games. We’re the only demand-side platform that delivers unparalleled reach, results, and measurement wherever audiences watch, stream, or play. For over a decade, we have helped marketers, agencies, publishers and studios build awareness, inspire action, and find untapped viewers across channels. And we’re just getting started.

The Opportunity

Asa* Data Scientist I,* you will work closely with other Scientists, Product Managers and Engineers to deliver best in class scientific models and algorithms deployed at scale. You will be part of a team building Simulmedia’s cross-channel TV product, and enabling the company to continue its growth in an exciting and dynamic market. You will spend lots of time doing exploratory data analysis, as well as collaborating with teammates to deliver top-notch forecasting models and optimization algorithms.

Qualifications:

BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical fields
Good understanding of statistical learning techniques - model selection, feature engineering, parameter tuning, cross validation, etc.
Good understanding of probability and linear algebra principles
Working knowledge of the Python data science universe
Basic working knowledge of SQL and eagerness to reach proficiency
1+ years of experience doing quantitative data analysis to solve real-world problems
Agility and eagerness to learn - excited about learning new domains/approaches
Ability to communicate findings and blockers clearly

Responsibilities:

Design, build and fine-tune machine learning models for prediction (e.g., of impression capacity) as well as optimization algorithms (e.g., for pacing delivery, decisioning)
Perform exploratory data analysis leveraging all data sources related to our cross-channel offering (demand side and supply side)
Assist the Engineering team in the expansion and continual enhancement of our cross-channel TV data platform, where all DSP and campaign execution data needed for Science comes together
Keep apace with the latest on digital advertising research and practices

Bonus points for...

Advanced Degrees
Experience with programmatic advertising
Proficiency with SQL

The Simulmedia Experience
We take tremendous pride in maintaining a high bar for employees and fostering a strong team environment. While we work hard every day, we also believe in relaxing together with lots of team activities. We have an unlimited vacation policy, tuition reimbursement, and no employee financial contribution for medical, dental, and vision benefits. We offer competitive salaries, stock options, and an annual bonus based on performance. And last but not least, we provide a free Citibike membership to all employees!

*
Company Vision*
To be the first place advertisers go to find and scale their high-value audiences and elevate the accountability and performance of their TV and video advertising.

*
Our Core Values*
Help Others Win
Focus on the Right Things
Show, Don’t Tell
Be Inclusive
Make an Impact
Strive to Be Greater

Simulmedia prioritizes diversity and representation in recruiting, embraces people of all backgrounds and works to create an inclusive culture to help all of our people thrive. We provide equal employment opportunities to all individuals regardless of their race, color, creed, religion, gender, age, sexual orientation, national origin, disability, veteran status, or any other characteristic protected by state, federal, or local law. Discrimination of any type is not tolerated at Simulmedia. This policy applies to all terms and conditions of employment, including recruiting, hiring, promotion, termination, time off, and compensation.

Job Type: Full-time

Work Location: Multiple Locations"
"/rc/clk?jk=f373de5a794c1da2&fccid=f97367b3ac9546b1&vjs=3","Data Scientist, Listening Experience Insights","Spotify","New-York","Data, Research & Insights
Data Science
The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them. We ask that our team members be physically located in Central European time or Eastern Standard/Daylight time zones for the purposes of our collaboration hours.

Location

New York

Job type

Permanent
We are looking for an enterprising Data Scientist professional who is passionate about using data to understand human behavior, translating those insights into meaningful experiences. You have a keen mind for product and the analytical and statistical skills to develop and deliver the insights that drive teams toward impactful solutions. You thrive in highly collaborative environments, working alongside User Research, Product, Design, and Engineering.

What You'll Do:

Develop research questions and perform analyses to understand who our listeners are, how they get value out of personalized listening experiences, and where we can develop our product to bring greater value.
Perform exploratory analyses to understand the quality of our recommendations and their effect on users.
Define, evaluate, dashboard and monitor key metrics to understand impact and triage why metrics move.
Design, analyze, and interpret the results of experiments.
Work closely with the team including data engineering to build lasting solutions to our data modeling
Contribute to the development of the Product Insights function and the wider analytics community at Spotify.

Who You Are:

You have 2+ years of experience in applied research and statistical modeling with a degree or higher in psychology, computer science, statistics, mathematics or similar field.
Competence with SQL and experience performing analysis on large datasets.
You have a strong statistical understanding of online testing methodologies and metric development.
You are comfortable taking on loosely defined problems, translating complex thinking into practical application for diverse audiences.
You are a communicative person who values building strong relationships with colleagues across disciplines to foster product innovation.

Where You'll Be:

We are a distributed workforce enabling our band members to find a work mode that is best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location and is within working hours.
Working hours? We operate within the Eastern Standard time zone for collaboration and ask that all be located that time zone.
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.

Our global benefits

Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.

Learn about life at Spotify

Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.

Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users."
"/rc/clk?jk=de91ff2a7a27bea4&fccid=06206ab329e0eb22&vjs=3","Data Scientist","ViacomCBS","New-York","ViacomCBS (NASDAQ: VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.

Division Overview:
ViacomCBS is looking for a talented and highly motivated Data Scientist to join our Data technology Solutions (DTS) Group. Our Data technology Solutions team is an agile group and develops reliable data platforms to facilitate internal groups for processing data more efficiently.

Role Details:
The Data Scientist will work with different groups across ViacomCBS for automating the processes, develop models relevant to each business for optimizing and improving the revenue streams.

Your Day-to-Day:
Work with stakeholders across the organization to identify opportunities for data-driven solutions.
Collaborate with data engineers to design and integrate new data sources
Conceptualize, implement and scale statistics and machine learning models that help to enhance user engagement and optimize site monetization.
Supporting the business group by building and proactively suggesting reports and dashboards that would be useful for that group

Qualifications:
What you bring to the team:
You have –
Master’s Degree in Computer Science, Mathematics, Statistics or equivalent.
Strong problem solving skills and ability to understand business problems and translating
them into data science / data engineering design specs.
Strong proficiency in using Python for data manipulation and exploratory analysis.
Ability to write complex SQL to perform common types of analysis and aggregations
Experience with statistical analysis and time series modeling.
Knowledge of a variety of machine learning techniques (clustering, regression, decision tree learning, neural networks, etc.) and understand their real-world advantages and trade-offs.
Experience implementing and deploying statistics and machine learning models. You should be familiar with libraries like Pandas, Numpy/Scipy, Statsmodels, Scikit-learn and
Keras / Tensorflow
Experience with Airflow
You might also have –
Experience with web analytics e.g. Adobe Analytics and Google Analytics
Experience with full-stack engineering, Python web frameworks such as Django or Flask
Experience with solutions that process data at scale, e.g. Hadoop, Spark, Google BigQuery or Snowflake
Familiar with a NoSQL database such as MongoDB
Familiar with version control systems (Git and Github/Bitbucket)
Familiar with cloud infrastructure especially GCP (Google Cloud Platform)
Experience with Docker
Experience with BI software like Tableau

#LI-ER2
#LI-REMOTE

ViacomCBS is an equal opportunity employer (EOE) including disability/vet.

At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
"/rc/clk?jk=0aa9f53d7f02b822&fccid=9ecb91618c39a24f&vjs=3","Data Scientist","Source Enterprises","New-York","Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.

Job Description

A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.

You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow.

Responsibilities:

Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner
Creating automated anomaly detection systems and constant tracking of its performance
Stay current on modern trends and advances in data mining technology
Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products
Perform other duties as assigned

Qualifications:

Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs:

Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.
Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc
Data visualization tools, such as D3.js, GGplot, etc.
NoSQL databases, such as MongoDB, Cassandra, HBase, etc.
Statistics skills, such as distributions, statistical testing, regression, etc.
Data-oriented personality
Excellent writing & organizational skills
Independent work ethic
Detail oriented
Strong drive to succeed
Entrepreneurial mindset
Proactive
Good communicator
Team player
Autonomous
Passion for coding, solving problems and working in a team environment
Use a provided online productivity platform to organize and keep track of your completed
tasks.

Makes suggestions for processes, coding, implementation, and/or performance improvements.

Please send a resume for consideration.

Part time and Full time positions available.

Flexible at home positions available."
"/rc/clk?jk=5335f390399049bb&fccid=556c1687e01b5e00&vjs=3","Data Scientist - Full-Time Campus Hire","Two Sigma Investments, LLC.","New-York","Two Sigma is a financial sciences company, combining data analysis, invention, and rigorous inquiry to help solve the toughest challenges in investment management, insurance technology, securities, private equity, and venture capital.

Our team of scientists, technologists, and academics looks beyond traditional methods to develop creative solutions to some of the world’s most complex economic problems.

We are seeking a data scientist to join our growing team and contribute to developing real-time views of consumer and sector-level microeconomic behavior and insights into how that collective behavior manifests in the global economy. We use large-scale real-world observational data to observe and contextualize macroeconomic conditions, regional economic health, consumer decision making, and sector- and firm-level performance in order to drive investment strategies. We often work with semi- or unstructured data sets, and need to be comfortable getting deep into messy data to design, test, and implement economically-intuitive features that measure real world economic activity. To accomplish this, we work closely with our partners to identify, develop, and monetize differentiated hypothesis-driven features that provide a real-time lens on emerging economic and commercial trends.
You are excited to take on the following opportunities:
Get into the weeds of large-scale real-world observational data to infer and control for potential biases resulting from complex data generating processes
Continually develop subject-matter expertise by engaging with internal and external partners to learn how various industries interact with suppliers, serve their customers, and assess their internal financial performance
Independently generate, articulate, and implement hypotheses on what may affect US and international industry- or firm-level performance trends
Develop a deep understanding of the application of empirical methods and data science to challenging applied prediction problems
You should possess the following qualifications:
Degree in a technical or quantitative discipline, like chemistry, computer science, economics, statistics, or quantitative social science with an applied empirical focus (all levels welcome, from bachelor’s to doctorate)
Proficient in Python and SQL
Performed an in-depth research project, examining real-world data
Are an independent thinker who can creatively approach data analysis and communicate complex ideas clearly
You don’t need a background in finance. It’s nice to have, but more than half of Two Sigma’s employees come from outside the finance industry. If you’ve got the research skills, we can teach you the financial aspects of the job.
You will enjoy the following benefits:
Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics."
