"original_source","job_url","job_title","company_name","state","description"
"indeed","https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DeDTa8A5XXaP3hF5RUeGNUidlMB_lbQpEViSkLjPD18H4tnerHt4majvAAfyJrokhndZ6QPyGyUdvqR3lm8rIuutTU8n8hD5IgE2LP6LEOeoMuHiFQrGnFFbeI8-AfrBHSOeWroWHJxI_5WGDkboVkQUrXTJi6nD_8nV7q6ChveAooEUBY3m5nCmBhXNcSJk7iDhsK_O5spOKHWFHnPA-16sPQAdeKyO2HOGIaMEJA0X85u5YDDqUS3h6_T29Y1WMGoHzYffry1yIyjTEAiEeWNShUVj-_2sJ_ekmgRfU35oLZI0B7-_lDFVSEuKFFka5Rb4EDiFVZgBC6yvz38_wwTsC2-AYg_9r6VAeSdLuHqVSA9oeCHXH-tvJ3puhCltUHkGkSb2Sxh-uDCcsBmZ_aHl7XcewRxsn5B5Q_drqejEXuF82c3j2V1FLBbQclsOsh9dmQXnFTXafGg7Z8fMTwtA7VMg_-RkRwGwgyurq307pilj2kDhfOYb36WUqdzLQiV1rl-AC3fa6rTeIsA0xakqDh8KTZcu-fk3x_LwIlj09cagrXoo3_vctZtGrDzaO21Y9R1cWhMXLh5ZbIRhsa6KL9XjR-42fWvgh7hAvh2A==&p=0&fvj=0&vjs=3","Data Scientist","Lendio","Utah","Lendio is seeking a Data Scientist in our Lehi, UT office to join an emerging leader in financial technology that uses the power of artificial technology to predict customer behaviors.

At Lendio, we’re innovative problem solvers with a passion for moving the industry forward. We have a team of talented people who enjoy coming to work every day in an established, cutting-edge company that has worked hard to maintain that start-up feel. We’re dedicated to solving difficult problems through data science and analytics. If you’ve been looking for a challenge and aren’t
satisfied with just showing up to work...Let’s talk.
About you: You like challenges. If you wake up in the middle of the night with the next great idea and can’t go back to sleep until you get a chance to write it down, you’ll fit in with us. If you get frustrated working in inefficient, top-heavy companies and want to be somewhere you can truly make a difference, we might be a good fit. You love small teams. You’d rather be on a team with 100 “A” players than 1000 corporate drones. Accountability is a term you are familiar with. You love working in a team, but also are capable of cranking out a ton of work independently.
As a Data Scientist, you will
Develop new and innovative statistical and machine learning models to predict customer behaviors leveraging Lendio’s large and complex proprietary datasets.
Evaluate potential new data sources to enhance models and decision-making.
Conduct deep dives into the performance of loans to identify data-driven opportunities to improve risk assessment.
Develop and present new strategy recommendations directly to the executive team.


Experience and Qualification
Self-starter with a proven track record of delivering high-quality analysis and models
Strong statistical and mathematical abilities and interest in finance
Expertise in statistical modeling and machine learning
Quick learner with a can-do attitude
Master’s degree in a quantitative field (statistics, math, science, engineering, economics)
Proficient in R and/or Python
Experience with object-oriented programming a plus
Excellent verbal and written communication skills, in particular, communication of technical/quantitative concepts
Energized by an entrepreneurial environment and eager to contribute beyond your role


Benefits
Be part of a high performing, collaborative team and have fun at work each day
Competitive pay
A full suite of traditional benefits
Unlimited PTO
401k with company match and immediate vesting
Company-contributed HSA
Wellness program
And the best reason to work at Lendio is our culture! Check us out on @LendioLife and Glassdoor

#General
#LI-CY1"
"indeed","https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL1trAzPQuAwgBbR8Ea4V3Zrj_v7uJoskQSRIK54DMWz835Htrgj6o_smpmnkR_6EIaT0GAwcNRR0mM6QDDhXj4dTXrdl9BwVYsudTw6znNRUXtTz_-T8c_5pA6weDsEx6wH1AqOPsZofeNOefKCl4KUTMbl7ejYuItv-nyTSXX7kAv5-VEAxnXSLte3rgyga5LS2sIj52FHk9rsl9C4rjphAW-2nM7X-mJdTXpTqvq6PgIRiZier2haKRX9f5x2jcPFt2-9jzYeruQVsC9r0E_cJbMsRufqLts53RK5lSSegQCM3GQMiPv_7H8IhhlaQWKFY2k-yWnGkTTNx_1xGz5Fd1l_vwRG-YK2zqD7-32EkrCK_5d3LKfvMkv4Q4fVoOV0Mr5fZSyUKfQ5W8vlip-qD9hw8q9gW4CEFuWF2WhMnNCL3MX18OHnGcG7uTXmsJFWy9fjINScNxHt4GGH9hthuxlc--JhiJLwcfuwp6QQKSDoin-EeOC9BGhQD7Dx2VpK_uaMtVYBvdtuf35GHX4ajzfdA8KlsoDGX-tjF9Ulxf7b3k4ctqjqgbahREVVRCKY9Zqd78cYF&p=1&fvj=0&vjs=3","GBSD Principal Data Scientist – 5066","Northrop Grumman","Utah","Requisition ID: 21013422
Category: Research and Sciences
Location: Roy - UT, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time
Positions Available: 2



At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.

Embark on a career putting innovative, reliable, and agile products and ideas into orbit, and beyond. Northrop Grumman has opportunities waiting for you that play a vital role in human space exploration, national defense, and scientific discovery, supporting multiple programs across the universe. With us, you’ll discover a culture of curiosity and collaboration that will have you Defining Possible from the day you start. Our space systems connect and protect millions of people on earth every day, now and for the future. Explore your future and launch your career today.Northrop Grumman Space Systems is seeking a Principal Data Scientist. This position will be located in Roy, Utah and will support the Ground Based Strategic Deterrent (GBSD) program. This role may offer a competitive relocation assistance package.As a full-time employee of Northrop Grumman Space Systems, you are eligible for our robust benefits package including:

Medical, Dental & Vision coverage
401k
Educational Assistance
Life Insurance
Employee Assistance Programs & Work/Life Solutions
Paid Time Off
Health & Wellness Resources
Employee Discounts This position’s standard work schedule is a 9/80. The 9/80 schedule allows employees who work a nine-hour day Monday through Thursday to take every other Friday off. What You’ll Get To Do: Create data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets. Analysis may have ma ny applications such as to address a business issue or provide a competitive advantage for the organization. Requires strong statistical and data visualization skills. In addition, you will: - Develop and implement artificial intelligence and machine learning models to solve complex data problems - Interpret large amounts of data using advanced visualization techniques and tools. - Merge and transform big datasets to ensure data integrity and usability. - Develop a process to maintain quality and performance of statistical models and quickly identify enhancements opportunities. - Communicate advanced concepts and information in an understandable manner for audiences of varying levels of competency. - Maintain an up-to-date knowledge of technology trends. - Properly document code, artifact description, implementation, and use case. - Work on a fast pasted collaborative team in an agile environment.Basic Qualifications:
5 Years experience with a Bachelors in Science; 3 Years with a Masters.
Programming experience in Python, R, or Node.js.
Experience manipulating dataframes through SQL, pandas, or tidyverse - US Citizen with ability to obtain a Secret clearance.
Preferred Qualifications:
Familiarity with any of the following: Tensorflow, Theano, Keras, PyTorch, NLTK, PyStan, PyMC3, Rstan, ElasticSearch, PyCuda
Familiarity with Graph, NoSQL, Hadoop, SMACK, or Neo4J/OWL




Salary Range: 96140 - 144210



Employees may be eligible for a discretionary bonus in addition to base pay. Annual bonuses are designed to reward individual contributions as well as allow employees to share in company results. Employees in Vice President or Director positions may be eligible for Long Term Incentives. In addition, Northrop Grumman provides a variety of benefits including health insurance coverage, life and disability insurance, savings plan, Company paid holidays and paid time off (PTO) for vacation and/or personal business.



Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit http://www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions."
"indeed","https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C4ExUy6zKKLYxakEvUKmvHOdi77s4eMH7Omr_DhcSkTLlzUjYz7sSoEXsDT7sAYzFh3_18tpoRrID3GbqemwFNCPaU6I3w1COxkL_vwUPoVJCKl4i7k0SQdLVqv19fLsIkQAZe9WSQYVO60Jqp9tM7B7lfe4Rnr7tFphvfEsUBg_DbFeJk7btXY5CyLA2mIxOHOA7O2Y5y8t0ylDWvQkx9imxYgbbMHk9-FTANSAbPO5NskKKKqoAi4F9R3pRmEFUtBieagPHv37hCmD2bak-43a8_IKtFXPV-j6sP-AyK-ycumaVAG68wiayS53gLimimhsf2V-BD3XTZwRVe9OCrlEQeSWyTDKggVj9RlBlyOusBH70YYlaYspofjexg2kt5EHJtxuiZYDMZ3WKXwXtCWMAVNx67PuIl95J50Pz5meK92dA-027V2i4-xryOsR7RwGjLRU1Hy7QnrP_8KyPrUOPmRF-brfg=&p=2&fvj=1&vjs=3","Senior Data Scientist","RedPoint Global","Utah","Senior Azure DevOps Architect
About us

Redpoint Global is the leading, enterprise grade marketing platform. Some of the biggest companies in the world are driving board level revenue generation from our rgOne platform.

rgOne™, Redpoint Global’s fully integrated solution, delivers a single point of control for data management, analytics, and marketing execution, so your customers can receive the real-time, hyper-personalized experiences they demand.

Website

https://www.redpointglobal.com

Background:

Smart marketers know that their insights and decisions are only as good as the models on which they’re built. That’s why Redpoint Automated Machine Learning (AML) helps your team analyze, build, use, and optimize models based on your business goals.

AML unites marketers, data scientists and engineers to render advanced modeling an easy, smooth process. Working with your data and your orchestration engine, AML makes real time and batch decisions to advance a broad range of business goals, including churn prediction, offer optimization, intent understanding, and more.

We have so much more to go in this journey both in terms of features and performance. We need a strong candidate to lead the way.

Responsibilities:

The Senior Data Scientist will review and test existing data models to check for accuracy and performance. Propose new models or enhancements to existing models that improve accuracy and performance. Work closely with the Engineering team to guide implementation of ML code changes.

Review and test existing productized models.
Propose novel changes in models to improve accuracy and performance.
Provide detailed guidance (code samples or pseudocode) for new models or algorithm changes for Engineering team use
Collaborate with product owners, designers, and other dev team members
Participate in all scrum activities

Who We're Looking For:

5+ years of data science, machine learning, advanced analytics
Extensive experience in applying Data Science / ML in production to build data-driven products for solving business problems
Strong coding skills in general purpose languages (Java/Python) and familiarity with software engineering principles around testing, code reviews, and deployment. Bonus points for C++ background.
Strong knowledge of common clustering, classification, and regression models.
Experience collaborating and understanding needs of various stakeholders (Product Management and Engineering)
MS or PH.D in quantitative fields (e.g. Statistics, Math, Computer Science, Economics)

Job Type: Full-time

Pay: From $200,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Referral program
Vision insurance

Schedule:

Monday to Friday

COVID-19 considerations:
Full COVID vaccinations required, additional office safety protocols in place at office locations.

Application Question(s):

Please provide examples of 3 specific business problems solved with your analytical solutions and discuss both approach and outcomes. Please, no company names or confidential information.

Education:

Master's (Required)

Experience:

Data science: 5 years (Required)
Machine learning: 5 years (Required)
C++: 3 years (Preferred)
Product development: 3 years (Required)
Python: 5 years (Required)

Work Location:

Fully Remote

Work Location: Remote"
"indeed","https://indeed.com/rc/clk?jk=bfb0bf7a91dfca3b&fccid=180448108da5f0aa&vjs=3","Junior Data Scientist",NA,"Utah","Company Description


Measured Analytics and Insurance is a high-growth Insurtech based in Salt Lake City, Utah. We're building smarter cyber insurance products designed specifically for the future of digital risk powered by artificial intelligence and machine learning. At Measured, we passionately believe in the power of data to drive better outcomes for our customers.



Job Description


We're looking for a Junior Data Scientist who will join our Data Science team that is building the best-in-class cyber insurance risk modeling platform. The ideal candidate will have education or equivalent professional experience in analyzing large data sets, familiarity with different ML modeling techniques, and hands-on experience with ML frameworks and libraries. If you are passionate about transforming data into actionable insights, we want to talk to you.

The things we'd like you to do:

Build tools to automate data collection and set up data pipelines that populate our Data Lake

Assist in tuning and validation of cyber-insurance risk models

Create reports and data visualizations to present analytic results

Research new data sets and modeling techniques to improve our predictive modeling efficacy



Qualifications


BS/MS in Data Science or equivalent experience

Experience working with Machine Learning software and languages including Python, Jupyter notebooks, and ML/Data Analytics libraries

Working knowledge of Data Engineering tools on AWS such as Glue, Athena, S3

Familiarity with Agile software development process


Additional Information


Get in on the ground floor of a new & growing company.

Significant career advancement opportunities in an expanding operation.

The chance to have direct input on shaping company strategy and direction

Autonomy while being supported by skilled teammates

Competitive salary and equity grants

Ability to work remotely"
"indeed","https://indeed.com/rc/clk?jk=11d0e53098f06688&fccid=be78c43e20f71cf5&vjs=3","Data Science & Analytics",NA,"Utah","As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and making it pop in multiple data visualization platforms."
"indeed","https://indeed.com/rc/clk?jk=c02fa894e6b61398&fccid=6328b27691d3fdc3&vjs=3","Data Scientist","University of Utah","Utah","ABOUT US
We create global impact by combining impact investing & innovative finance, data science, policy
entrepreneurship, community engagement, and impact storytelling. This Sorenson Impact Methodology™ translates inspiration into impact and helps social entrepreneurs and organizations articulate, measure, and expand their impact. Students are integrated into all our work. We operate an impact investing practice for our own fund and as a manager of an outside fund; we annually host one of the largest gatherings in the impact space; we have a thriving Data, Policy and Performance Innovation advisory practice and a world-class creative shop.

The Sorenson Impact Center strongly encourages diverse applicants (please circulate widely), especially those who self-identify as Black, Native or Indigenous, People of Color, LGBTQIA+, non-binary, living with disabilities, neurodivergent, young, speak English as a second language, and others from overlooked / underestimated communities.

Job Overview:
Conducts advanced statistical analyses of qualitative and quantitative data and interprets results. Works on independent projects as part of the data team and applies appropriate data science techniques to provide insights and answers to social impact issues. Effectively communicates data analyses to a variety of audiences, both technical and non-technical.

Responsibilities

1. Oversees/conducts statistical analyses, employing methods of descriptive statistics, multivariate analysis, regression analysis, and other statistical modeling techniques appropriate for the client’s needs.
2. Formats data for statistical analysis.
3. Presents statistical findings to a lay audience.
4. Writes reports and creates dashboards and data visualizations for clients.
5. May devise methods and procedures for collecting data.
6. May travel to a variety of sites within and outside the University to coordinate projects.
7. May supervise junior staff/students.

This job description is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.

Work Environment and Level of Frequency that may be required

Nearly Continuously: Office environment.

Physical Requirements and Level of Frequency that may be required

Nearly Continuously: Sitting, hearing, listening, talking.

Often: Repetitive hand motion (such as typing), walking.

Seldom: Bending, reaching overhead.

Minimum Qualifications

Bachelor’s degree in a related field or equivalency; plus four years related research experience, and demonstrated human relation and effective communication skills also required.

A Master’s degree in a related field is preferred.

Applicants must demonstrate the potential ability to perform the essential functions of the job as outlined in the position description.

Preferences

Preference will be given to candidates who exhibit the following:

Experience in managing projects among diverse stakeholders.
A degree in data science, statistics, business, public policy, or a related field. Master’s or PhD preferred.
Data engineering or analysis experience required.
Strong analytical, writing, and communication skills.
Proficiency in a programming language, such as R or Python (R preferred).
Type Benefited Staff Special Instructions Summary"
"indeed","https://indeed.com/rc/clk?jk=4430e9bb586ec085&fccid=9042cf9c63586136&vjs=3","Statistician / Data Scientist","Qualis Corporation","Utah","Qualis Corporation is seeking an experienced Statistician/Data Scientist to support test documentation and data collection services for the West Desert Test Center (WDTC) at Dugway Proving Ground (DPG), UT. This is a full-time position.

Essential Functions

Work closely with the Government POC and the customer to identify the appropriate statistical and visualization analysis for each project.
Using supporting data and analysis, the Statistician/Data Scientist will provide technical guidance and recommendations to test directors and other test team members throughout WDTC for development of test design plans; data collection, reduction and analysis plans; test methodology; and final report preparation.

Minimum Requirements

Bachelor’s degree in statistics or data science and 3-5 years minimum experience.
Demonstrated experience in task management and interpersonal communication skills.
Demonstrated ability to be innovative and adapt to changing program and customer requirements.
Strong problem-solving skills.
Have a strong statistical background and be responsible for the development of R and/or Python code supporting statistical and graphical analyses.
Demonstrated skill in providing high-level briefings.
Demonstrated experience in physical sciences, chemical sciences, biological sciences, or engineering, with experience in design and analysis of field tests, physical laboratory tests, and/or chemical warfare/CB development.
Chemical or biological laboratory experience is also desirable.

Clearance

Must be able to obtain and maintain a DoD Secret security clearance.



Equal Opportunity Employer/M/F/Vet/Disabled and a Participant in E-Verify"
"indeed","https://indeed.com/company/ReliaQuest,-LLC./jobs/Data-Scientist-0f25929654d8912d?fccid=399ca3c01ad9c434&vjs=3","Data Scientist","ReliaQuest, LLC.","Utah","ReliaQuest is looking for passionate Data Science professionals to join our team. This role will drive the creation, testing and deployment of cutting edge security technology to enterprise customers across the globe. You will build, design, and get tools to market tht will mature and advance the information security field. It is a great opportunity to advance your career in a fast-growing organization by creating new services/capabilities that do not exist today in the Cyber Security industry.

Responsibilities:

Select and engineer features from a wide variety of data sets
Build and optimize classifiers using machine learning techniques
Processing, cleaning, and verifying the integrity of the data used for analysis
Creating anomaly detection systems and tracking their performance
Integrate model inference into multiple diverse data pipelines
Perform code reviews and mentor peers

Qualifications:

Understanding of machine learning techniques and algorithms
Experience with common data science toolkits
Knowledge of Sagemaker,Apache Spark, Tensorflow, Pandas, NumPy, Jupyter Notebooks, Keras
Practical experience using NLP
Proficiency in creation of dashboards and visualizations
Knowledge of a combination of the following scripting and programming languages: Java, C, C++, C#, Python, Javascript, R
Preferred experience with Elasticsearch, GPU accelerated operations,log ingestion
Demonstrable mastery of statistics. Additional skills in linear algebra and/or calculus beneficial
Bachelor’s in Computer Science/Engineering, Mathematics, Physics (or Equivalent Experience)

Job Type: Full-time

Work Location: Multiple Locations"
"indeed","https://indeed.com/rc/clk?jk=59454e471fe5c70d&fccid=c487856e779406d1&vjs=3","Data Scientist",NA,"Utah","At MarketDial we equip our clients with the easiest-to-use and most accurate solution to conduct offline A/B testing. In short, we provide our clients with the tools they need to set up statistically robust trials to test various initiatives across their business. This allows them to learn quickly and have greater confidence in the initiatives they ultimately decide to roll out - saving time, money, and energy. To date, our software has allowed our clients across the retail, grocery, c-store, restaurant, and manufacturing markets to make sophisticated multi-million dollar marketing, pricing, staffing, and operational decisions through offline A/B testing.

We pride ourselves on offering our clients unparalleled support to ensure their success with MarketDial. We are currently seeking a Data Scientist to uniquely support our clients in the U.S. and abroad.

Job description:

This role has a variety of responsibilities spanning engagement with MarketDial users and senior executives/project sponsors. A sample of responsibilities include:

Support users in end to end process of testing, from designing the ideal test to meet their business need, to understanding the business implications of the test outcome
Analyze data and create novel analytical solutions to answer business questions
Host regular training sessions to equip new users with the skills to effectively use MarketDial
Research statistical/ML methodologies to solve client problems and develop the MarketDial product
Engage key stakeholders to increase MarketDial awareness across business units, including promoting MarketDial at various business town halls
Strategize with senior leaders to embed MarketDial into the broader testing governance/framework of their business
Onboard new teams/brands through effective collaboration with project sponsors and technical stakeholders
Effectively gather user feedback to understand opportunities to enhance our product, and work with the MarketDial leadership team to incorporate feedback into product development
Produce high quality materials (powerpoint, etc.) to engage with clients (users and senior executives) on test outcomes and broader partnership objectives

The ideal candidate should:

Be comfortable working and communicating with senior executives as well as business analysts
Be knowledgeable in applying of statistical and ML methodologies using tools like Python to solve real-world problems
Be able to work independently and drive projects with limited direction (be comfortable with being uncomfortable)
Be open to travel as needed to meet client needs

Nice to have:

A background in retail analytics or management consulting is preferred but not required
Experience with/technical skills of Python, SQL, R, SAS, or the likes is highly desirable
An advanced degree (Ph'D, Masters) in an analytical discipline is preferred but not required
Adept with translating concepts and analytics into an effective presentation appropriate for various audiences
Project management experience or skills highly desirable

Some of the benefits you will enjoy:

Competitive pay and stock option grants.
Fully-covered healthcare, as well as a company-funded HRA account to pay for all out of pocket costs.
Unlimited vacation policy.
Generous parental leave.
Regular free meals.
Fully stocked kitchen.
Open, transparent office and culture.
Continuing education/tuition reimbursement program.
Transportation benefits and reimbursement program.

Data Scientist will be located in the Salt Lake City, Utah area and report to the Chief Data Scientist who sits in SLC."
"indeed","https://indeed.com/rc/clk?jk=31a7234bedb36191&fccid=c296b625cb8947e4&vjs=3","Data Engineer - AI and Data Operations - Remote","MarketStar","Utah","If you are a current employee who is interested in applying to this position, please navigate to the internal Careers site to apply.

Data Engineer - AI and Data Operations - Remote

Location: Remote

About MarketStar:
Rated as one of the Salt Lake Tribune’s Top Workplaces in 2019 and 2020, MarketStar is one of Northern Utah’s largest private employers and has offices in Ogden, Salt Lake City, and Dublin, Ireland. Our employees have helped launch, sell, and support thousands of products and services on behalf of the biggest and brightest companies in the world!

We are excited to have you apply to work with us! “You Belong” is one of the MarketStar values and we look forward to you finding belonging and purpose here with us. Another MarketStar value is “We Care” which means that we care about you, your career and your family. We look forward to the possibility of having you on our team!

MarketStar Benefits and Perks:
• Childcare Reimbursement – 50% up to $5000 annually
• Healthcare Coverage: Medical, dental, vision (First day of following month)
• 401k Match: 100% pre-tax match on the first 3%, 50% pre-tax match on the following 2%
• Paid Time Off: 4.5 weeks total PTO + 7 Paid Holidays
• Paid Family Maternity/Paternity Leave: Up to 6 weeks (eligible after 1 year of employment)
• Tuition Reimbursement: $2,000 semi-annually ($4,000 aggregated over a full calendar year)
• 0% interest Hardship Loan Program

About the Data Engineer - AI and Data Operations - Remote

The AI and Data Operations team is responsible for providing accurate, timely, well-structured data to AI Engineers, Business Intelligence Engineers, and management teams. As a Data Engineer, you will build and maintain data repositories, custom workflows, data integrations, and imports. You will work closely with Business Intelligence and AI Engineers to create shared data models they can use to drive value for the business.

What will you do?

Monitor data processes, workflows, and jobs, and address any issues that arise
Leverage SQL, Python, Azure tools, PowerBI, and other technologies to extract, transform, and load data into well-designed data models
Understand and follow all rules and procedures required by security and best practice policies
Document data models and software, and clearly communicate current state and changes to the teams that use them
Document metadata in a centralized repository in a way that allows us to maximize the value of the data we manage
Work with public and private APIs, file stores, databases, and other repositories to enhance and expand data capabilities
Write highly resilient, high throughput data workflows with solid logging and process monitoring
Import and integrate data into front line systems for MarketStar corporate and client teams
Actively engage with the team while working in a remote environment, working to deliver an excellent level of service to all consumers of the data
Create and maintain highly reliable APIs that expose data and AI services to other teams
Constantly improve yourself and the team through training and sharing of best practices
Understand MarketStar’s business processes and make suggestions on data services that could drive value for the business

Desired Attributes for Success:

Bachelor’s degree in Computer Science, Mathematics, Engineering, or similar field
A willingness to learn new tools and technologies
Experience querying data using the SQL language
Experience working with data using the Python language
Experience creating and sharing data models/data marts/data warehouses
Experience working with APIs
A high-level understanding of sales processes and tools
Solid communication skills with experience translating complex technical processes or problems to non-technical language
Experience in measuring, reporting, and analysis of processes
Understanding of agile project/task management techniques


MarketStar does not discriminate in any aspect of employment based on race, color, religion, national origin, ancestry, gender, sexual orientation, gender identity and/or expression, age, veteran status, disability, or any other characteristic protected by federal, state, or local employment discrimination laws where MarketStar does business."
