"job_title","company_name","state","description","skill","type"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Commercial Banking","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Analytical Skills","Soft Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","External Auditor","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Strategic Decision-Making","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Dealing With Ambiguity","Soft Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Communications","Soft Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Python (Programming Language)","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Logistic Regression","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Data Science","Hard Skill"
"Data Scientist","JPMorgan Chase & Co.","NJ"," About this job 
  Job type:  Full-time    Role:  Data Scientist    Industry:  Financial Services    Company size:  10k+ people    Company type:  Public       Technologies   sql, r, machine-learning     Job description  As a Data Scientist, • You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities. • You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities. • You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth. • You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems. • You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients. • You will provide support for audits of model development and implementation by both internal and external auditors. What we're looking for: • Postgraduate university degree in the quantitative discipline required (ex. Statistics, Operations Research, Economics, Computer Science, Engineering). Graduate studies, Masters or Ph.D. required. • Extensive knowledge of data analysis, theory, and statistical techniques (such as linear or nonlinear models, logistic regression, machine learning, macroeconomic forecast, decision trees, cluster analysis, neural networks, etc.) • Strong (at least 3 years) Python, Hive, Elastic Search, and SQL programming skills. Skills that will help you in the role: • Analytical skills - Knowledge of data & analytics. Ability to work independently on analytical tasks. • Teamwork - Ability to work with and in cross-functional teams and virtual teams across locations. • Conceptual thinking - Ability to think strategically about analytics and their value to the organization. • Communication-Ability to think quickly & relay information to technical and non-technical audiences. You will share a range of information, reasoning, insights, and recommendations that will drive decisions by our key stakeholder teams, from simple SQL queries to more advanced long-term modeling and strategic analysis. • A strong bias towards delivering results while dealing with ambiguity in fast-paced, dynamic environments. JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs. Equal Opportunity Employer/Disability/Veterans    ","Operations Research","Hard Skill"
